yuma,yamato,amugiri,hyuga,yuta
"ギャップ萌えか…(萌え萌えキュン) https://t.co/2MUyy3yShh Jul 06, 2019 ","@comhyuga1117 @comyuta0305 ひゅうがって言われてますよ。 Apr 28, 2020 ","@Kym1k0eMpAdvtyW そうです！😆 Mar 20, 2021 ",,
"今日の動画俺一言も喋ってないけど面白いよ。 気になる人は見てください。 https://t.co/6c0aIxijEL https://t.co/D0FdpqakfB Jul 06, 2019 ","なんかメンバーがSNS更新してると反射的にRTしちゃうくらい嬉しいんですけどこれってガチオタですか？ Apr 27, 2020 ","DJあむ　触れて嬉しかった😭 https://t.co/ElS6hrITkT Mar 20, 2021 ",,
"福岡女子の博多弁を聞くというキャンパスライフの夢を抱いていた僕だが、2年越しに博多女子に遭遇。 そして 『シャーペン忘れたと？貸してあげるとよ！』って無理やり言わせたら 夢を叶えると同時に先輩としての威厳を全て失った僕であった。 https://t.co/CzA5iPBThe Jul 05, 2019 ","面白いと言われたら喜んで、つまらないとdisられたら無視する 幸せでいる秘訣です Apr 27, 2020 ","@macagra_ryoma おめでとう！！😁 Mar 20, 2021 ",,
"RT @Comyoutuber2: 虫嫌いの友達を深夜に虫取りに誘ったら全員揃うのか！？ https://t.co/LlPs5xPWNg 地元の友達シリーズ！！！ コムドットといえばひゅうが以外虫嫌いで有名ですが、悪だくみひゅうがは好感度を気にしてるメンバーならたとえ虫取りで… Jul 04, 2019 ","@higuys_iamkyoka @comhyuga1117 俺のにはコメントしてくれなかったのに... Apr 27, 2020 ","GTA (グレートティーチャーあむ) アホなクラスになりそう https://t.co/kehZN8EazL Mar 19, 2021 ",,
"RT @Comyoutuber2: 1週間人を驚かし続けてみた結果www https://t.co/zRsm0mdmwh 今日の動画です🔥 日本のみんなは人が驚いてるシーンを見るのが好きらしい！！！！！ なのでこの企画！！！ 人間を1週間驚かし続けてみました✌️ これはえぐい… Jul 04, 2019 ","@nanoko__24 なかなかの強敵が現れた Apr 27, 2020 ","@comyamato0515 いや赤点顔て Mar 18, 2021 ",,
"RT @Comyoutuber2: 太らせるゲームwwww フルバージョンはこちら → https://t.co/SNQbvOAUO0 → https://t.co/8O884VP6V3 #拡散希望️ #RTお願いします https://t.co/u3OHyTU6wz Jul 02, 2019 ","@xHFjom9oTEq0UpJ 俺と一戦やりたきゃ軍艦でも引っ張ってくるんだな Apr 27, 2020 ","@comKEITA3 お！カッコいいってこととTwitterの宣伝をよろしくね😁 Mar 18, 2021 ",,
"RT @Comyoutuber2: https://t.co/8O884VP6V3 新しい動画です！！ 第2回韻踏んで太らせよう企画です🔥✌️ これの動画を撮影するたびに芸人さんの凄さを再確認します😅 いつか追いつきたい！！！ ぜひチェックお願いします🙏💪 https://t… Jul 02, 2019 ","@ZOkUFJVkOVE2PO1 俺は1日10本は見るかな🧐🧐 Apr 27, 2020 ","@comamugirl0123 😀😀 Mar 18, 2021 ",,
"みなさん拡散おねがいします！ https://t.co/yYEql7bNKW Jul 02, 2019 ","@ymt5151 俺その動画7回見てますけども🤨🤨 Apr 27, 2020 ","@COM32796495 凝視😀 Mar 18, 2021 ",,
"RT @comyamato0515: 【友達の髪型勝手にがーどまんにするドッキリ】 メンバーをYouTube界で最も勢いのあるがーどまんさんの髪型にしてみました！ぜひご視聴ください → https://t.co/sHKENELSsz @mcgardman https://… Jul 01, 2019 ","@teraterajima7 俺は昨日の動画6回見た😤😤 Apr 27, 2020 ","@CHcuqyrc3RkWsA2 高校精勤賞！(入学式だけ遅刻) Mar 18, 2021 ",,
"RT @Comyoutuber2: 今日の動画です！！ https://t.co/H661P0QzzE 大人気アプリ、インスタグラム、アカウント検索で上位検索(おすすめ)が表示されます。そこに表示されるアカウントが好きな人が出てくるのではないか？🤔そんな疑問が生まれたので調査！… Jun 30, 2019 ","俺コムドット大好きで毎日何本も動画見るんだけど、俺よりコムドット好きな自信ある人いる？😾😾 Apr 27, 2020 ","@cr5RIXOiUbGIvDr これ正装です Mar 18, 2021 ",,
"RT @comyamato0515: 【タピオカアイスの作り方】 1.タピオカを用意します 2.ストローを真ん中に通します 3.冷凍庫で8時間放置します 4.新感覚タピオカアイスの完成 作り方、味のレビューを載せているので是非YouTube見てみてください → htt… Jun 28, 2019 ","もうあなたは立派な一流クリエイターです これからも密かにコムドットを支えてください 30分動画を1日で完成させるってほんとに凄いことなんだよみんな！！！！ https://t.co/1plsBw6OU7 Apr 26, 2020 ","最後尾にいるよく寝てそうな生徒 学生気分になれました😌 https://t.co/FPHgISErD3 Mar 18, 2021 ",,
"RT @kopi_1024: コバソロさん2nd album「Clumsy」から ""春に揺られど君想う"" 歌わせていただきました。 YouTubeにてMVフルでご視聴できます、かっこよすぎる曲なので是非聴いて欲しい…！ @kobamakolts https://t.co/VO… Jun 28, 2019 ","日本を獲るって言うと、その根拠をよく聞かれる 全てのYouTuberを見たことないけど、毎日4人を見てたらこいつらとなら余裕で日本獲れるなって根拠ない自信が湧きまくる その感覚は売れてない頃から全く変わってない 井の中の蛙が大海を制す Apr 26, 2020 ","@comsayari0116 おめでとう🎉 Mar 18, 2021 ",,
"RT @Comyoutuber2: https://t.co/9HPSQraGkG みなさんこんばんは！大人気の地元シリーズになります！🌛🌛 「風邪引いたら会いにいく」 彼氏彼女だったら日常であり得ること現象をコムドットで検証🤔🤔 地元ならではの雰囲気お楽しみください😍😍 ht… Jun 28, 2019 ","今日の撮影も楽しかったなー こーゆー撮影の時に俺らが日本獲れないわけがないなって根拠ない自信が湧いてくる https://t.co/lSXjtkK2nB Apr 25, 2020 ","@hi_ka_da 勉強やるしかない💪 Mar 18, 2021 ",,
"RT @Comyoutuber2: 今日の動画です！！ https://t.co/L8QbqNXUy1 先月オフ会を開きたくさんの方が足を運んでくださり本当にありがとうございました！！🙏🙇‍♂️ 梅雨シーズン大雨の中急遽開いたら何人来てくれるのだろう？と思いやってみたらまさかの… Jun 28, 2019 ","YouTubeやってるので本気でチャンネル登録お願いします https://t.co/YaMqlL04c9 Apr 25, 2020 ","昨日の余韻がものすごいです 1つ自分の夢が叶いました✨ そして今日も天気がものすごく良い😎 グミを食べていくぅぅぅ Mar 18, 2021 ",,
"RT @Comyoutuber2: 今日の動画です。 https://t.co/76cNOTlixf 明日花キララさんへ。 僕たちの動画をみてください。 この想いよ届け。 https://t.co/Y4ORcV51Er Jun 28, 2019 ","@comyuma1214 @puntkick_ikemi 池見くんゆうまにタメ口きいてて草 Apr 24, 2020 ","@kopichan_ @Comyoutuber2 ありがとうございます！😂🙇‍♂️ Mar 17, 2021 ",,
"RT @Comyoutuber2: 今日の動画です！ https://t.co/RPYQEmpsme ハイスペック頭脳vsスッカラカン頭脳 第2回戦です！！！ なぜかバッチバチなひゅうがといなし続けるやまとの学力バトルはいつまで続くのでしょうか🤔 まじでみんな見てね！！ 見ない… Jun 28, 2019 ","どれ派ですか？ #センターパート https://t.co/mBYz86LXom Apr 24, 2020 ","@gishi_rr @_Runa_Ru_na ぎしに強く言われました！以後気を付けていこうと思います！ちなみにぎしは反省してないみたいです😀 Mar 15, 2021 ",,
"RT @Comyoutuber2: 【破産】コストコで日本一デカイ浮き輪買ってみたwww https://t.co/8tCyu11wzk まじです。しかもメンバーに内緒で買いました。経費使っちゃいました🤤 まあメンバーが増えたと思えば安い出費だな！！！！！！！ これからよろし… Jun 28, 2019 ","1年でここまで来ました〜 いつも応援ありがとうございます😼 TikTok 1700人→35万人 YouTube 1万人→17万人 来年はもっとやばいよ🦾 https://t.co/7n6K1UUGOp Apr 23, 2020 ","自分も楽しみです！ お楽しみに😆🙇‍♂️ #コムドット革命 https://t.co/fbebsKjD1Z Mar 15, 2021 ",,
"RT @mrkokudai19_2: みなさん、はじめまして！ 法学部法律学科3年 エントリーNo.2 石川 瑛一朗です！ これからの様々な事への挑戦と、たくさんの出会いにとてもワクワクしています！ 悔いのないよう精一杯頑張らさせて頂きますので、応援よろしくお願いします！ ht… Jun 28, 2019 ","どんな状況になっても流れを戻す力がコムドットにはある 戻すっていうか作る力がある 50万人もそう遠くない Apr 22, 2020 ","@_Runa_Ru_na ごめんなさい！！ぎしに強く言っておきますね！😅🙇‍♂️ Mar 15, 2021 ",,
"RT @homies_ruka: King & Princeさんの｢シンデレラガール｣をジャニーズアーティストの名前だけで歌ってみた。 https://t.co/0XMQi9uJlx Jun 28, 2019 ","TikTokで1番有名なYouTuberは間違いなくコムドット あとは1番人気になるだけ Apr 20, 2020 ","@O397__ 素晴らしいお話です😭 Mar 15, 2021 ",,
"RT @Comyoutuber2: 【キングダム】ONE OK ROCKのWasted Nightの歌詞現役上智生と中卒が和訳した結果がエグすぎたwwwww https://t.co/gHATrGc69f 今日の動画です！ 本当にこの戦いは猿かに合戦のようなもん🤤笑 まじでこ… Jun 28, 2019 ","あえて成功する前に言っとく 「この1年で日本をひっくり返す」 Apr 19, 2020 ","@_asaka_00 頼みやす！😂 Mar 15, 2021 ",,
"@_____mika0225 洗剤の匂いを嗅ぎ分ける Jun 26, 2019 ","やまと風ゆうた 今日の動画見てね！！！ https://t.co/J1XSjBomoT https://t.co/EfytvYHnDV Apr 19, 2020 ","昨日、1年ぶりくらいに電車に乗ったらホームで10分くらい彷徨った👀 1年後リベンジしてみよ🚃 Mar 15, 2021 ",,
"@comYuria0907 コムドットメンバーならばわかる Jun 26, 2019 ","@puntkick_ikemi 池見くんはまぜそばしか食べません Apr 15, 2020 ","@go__085 😀 Mar 14, 2021 ",,
"ほっぺソムリエとして言いたい。 デブのほっぺは八割型硬いし、 アイドルのほっぺは絶対に柔らかい。触ったことないけどね。 だって老廃物が溜まったお顔のアイドルなんていないでしょ？プニプニに決まってるんだぁ！はぁ一度いいから触って昇天したい。 ヤマトのほっぺは柔らかい。以上。 https://t.co/GmiR5yLQgM Jun 26, 2019 ","無料音楽アプリを否定してる人はアダルトビデオをお金を払って見ているのでしょうか Apr 15, 2020 ","ごちゃごちゃメンバー！😂 https://t.co/seEsk1nepI Mar 11, 2021 ",,
"俺はほっぺフェチであり匂いフェチだ。理由を述べよう。 僕の匂いは脇の酸っぱいオイニーによりクエン酸臭となっていて ほっぺに関しては肌荒れしていて触れない。 つまり自己のウィークポイントがフェチのポイントになりやすいということがここに実証された。 そしてデブのほっぺはだいたい硬い。 https://t.co/pQetIUtiXT Jun 26, 2019 ","@puntkick_nao その言葉覆さんで下さいよ Apr 13, 2020 ","@yuuuma96 気づかんかったぁ笑 Mar 09, 2021 ",,
"@_____mika0225 クンカクンカァ！ Jun 26, 2019 ","かわいいアイドルの""他撮りおうち時間写真""はどんな男が撮ってるのか... Apr 12, 2020 ","@12xVqB4oC81RfYb そう！ Mar 09, 2021 ",,
"@ComYuzuki そして俺の匂いは酸っぱくてほっぺほニキビで荒れている Jun 26, 2019 ","@ykk_onair @comyuta0305 @comhyuga1117 @comyuma1214 @comamugiri0123 いつも応援ありがとう😊 Apr 12, 2020 ","カメラ火メラメラ📸 https://t.co/iUhMAlZ3Ka Mar 09, 2021 ",,
"@ComYuzuki 匂いフェチ兼ほっぺフェチ Jun 26, 2019 ","「教室の後ろでまた男子が変なことやってるよ」 そんな目で見てもらえたらコムドットは幸せです Apr 11, 2020 ","@TFy3dafIF0u0kot おめでとうございます㊗️ Mar 08, 2021 ",,
"@comYuria0907 匂いソムリエに俺はなる Jun 26, 2019 ","いぇーい参加賞😎😎 https://t.co/xesjmDkbkN Apr 11, 2020 ","@comcom35153621 おめでとうございます！ Mar 08, 2021 ",,
"僕ってふつうにオフ会やイベントとか行っても緊張しちゃってまともにトークすることもできないからファンと絡んでて楽しいなぁって思う瞬間は会話してる時ではなく、 チェキや写真を撮ってる時女性ファンの匂いをクンカクンカしている時である。皆さんこれからもオフ会に来た際は僕と写真撮ってね。 https://t.co/INCiO1BiL6 Jun 26, 2019 ","RT @comyamato0515: @bozu_108 朝は希望を持って起き、昼は勤勉に働き、夜は感謝と共に眠る Apr 09, 2020 ","早起き最高ですね でも雨で最悪ですね🤷‍♂️ Mar 08, 2021 ",,
"RT @Comyoutuber2: 今日の動画です🔥 https://t.co/11jfg8Tszw こんばんは。 最近どんどん暑くなってきましたね。 そうです。もうすぐそこに夏が来ています。夏というものは不思議なもので色んなマジックが起こります。 なんかうまい文章にしようとし… Jun 26, 2019 ","@bozu_108 朝は希望を持って起き、昼は勤勉に働き、夜は感謝と共に眠る Apr 09, 2020 ","@aya110n_n うひょひょ Mar 07, 2021 ",,
"RT @Comyoutuber2: 今日の動画です！！ https://t.co/SNQbvOAUO0 芸人のタイムマシーン3号さんの伝説のネタ、なんでも太らせるというのをやってみました😭🤤 この世に存在する単語はちょっと変えるだけでブクブクに太るっぽいです。 ん？意味がわから… Jun 26, 2019 ","言霊8 この半年で全部のアンチの手のひらを返させる Apr 08, 2020 ","@com_hinawo 最近犬と触れ合う機会が多くて犬推しになってるかも笑 Mar 07, 2021 ",,
"RT @Comyoutuber2: あいみょんのハルノヒの歌詞バレずにどこまで言えるのか！？ https://t.co/77UcpWefgF 今日の動画です！！ 現在大注目されているYouTuber「ほーみーず」とのコラボ動画です🔥💪 あいみょんでバズった彼らにあいみょんの曲… Jun 26, 2019 ","作戦　亀田興毅作戦 アンチのみんな手のひら返す準備OK？ https://t.co/wZt1Isz2Gc Apr 08, 2020 ","@123tna__1 うわ可愛い… Mar 07, 2021 ",,
"RT @chibashin0119: お待たせしました！ 本日の動画🔥 「コムドット」とジャニーズタレントの名前を太らせてみた！！ ほーみーず初のコラボ動画です！ こちらから👇 https://t.co/EDTTP0YAQG https://t.co/OCJ30Fc3e6 Jun 26, 2019 ","@inman_official @tenrisuzuki みんな行きたい東京ディズニーランド だけど家で食う餃子まんじゅう Apr 07, 2020 ","またベアちゃんと写真を撮れました🐈 https://t.co/GeD0A2JZjY Mar 07, 2021 ",,
"RT @homies_ruka: 本日の動画見てくれたかな！？ ほーみーず初のコラボ動画です！ ｢ジャニーズタレントの名前を太らせてみた。｣ こちらから👇👇 https://t.co/iBZnEQoeKS ｢コムドット｣の方でも動画上がってるのでそっちも見てね🕴 こちらから… Jun 26, 2019 ","行かなきゃいいだけ！簡単！ https://t.co/wM5bOGUvqJ Apr 06, 2020 ","楽しかったです！ 動画外でスマブラをしました😂 負けて悔しかったのでまた遊びに行きます🏃‍♂️ https://t.co/JCvmuyGq1D Mar 05, 2021 ",,
"ブランドン、、、 Jun 23, 2019 ","コロナになっても学校も職場も責任とってくれないから、自分の身は自分で守ってね 家にいるだけで自分を守れるってこんなシンプルな話ないからね 確実なのは家から出ないことだから　 どうか正しい判断で自分を守ってください Apr 06, 2020 ","@comtakumi0613 担任の先生からの最後の言葉をちゃんと聞こう！😭 Mar 03, 2021 ",,
"RT @chibashin0119: コムドット と合流してこれからイベント向かうよー！😆 https://t.co/boJ8aAKdxo Jun 23, 2019 ","学校行ったらダメ！まだ間に合う！ Apr 06, 2020 ","@Rk_08_06_k 続けていることは本当に素晴らしいことだと思います🙇‍♂️ 7年目も頑張って下さい！ Mar 03, 2021 ",,
"RT @homies_ruka: 本日の動画こちら！！ 嵐の｢Love so sweet｣をジャニーズアーティストの名前だけで歌ってみた。 今回も力の入った動画です🔥 こちらから↓↓↓ https://t.co/qy4u86m9UB https://t.co/Rpm7A5j… Jun 23, 2019 ","俺らが動画でやるノリは普段話してて生まれるものが多くて、なんならプライベートの方が笑神降りて大爆笑することが多い https://t.co/gkdawh3MeJ Apr 03, 2020 ","@commirei1205 死ぬほど泣きました笑 Mar 03, 2021 ",,
"RT @homies_ruka: 嵐さんの｢Love so sweet｣をジャニーズアーティストの名前だけで歌ってみた。 https://t.co/wwrBoWPvqx Jun 23, 2019 ","マスク2枚の使い道は限られてるけど、自粛期間の時間の使い方は無限にあると思う 現状に文句言うよりもこの時間をどう使うか考える方がはるかに重要 Apr 02, 2020 ","@Aika_s24 親の集合時間と勘違いしました笑笑 Mar 03, 2021 ",,
"RT @homies_ruka: よ～し！コムドットと合流したのでイベント会場向かいます💨💨💨 https://t.co/5DjTOeBtQZ Jun 23, 2019 ","親方バズってて草です https://t.co/pGE1tf8lzb Apr 01, 2020 ","卒業された方々ご卒業おめでとうございます🎓 不安な気持ちはあると思いますが新しい環境でも楽しんで過ごして下さい！ あと、学生の方へ。 入学式は遅刻しないように。 (高校の入学式30分遅れてしまった経歴あり😅) Mar 03, 2021 ",,
"RT @Comyoutuber2: 今日の動画です！！ https://t.co/ChLsZjDpLJ 本日は大人気ラファエル野球拳です！ 僕は大嫌いですけどね！🤪 けどなかなか楽しい撮影になりました✌️ 過去最高傑作です🚴‍♂️🚴‍♂️🚴‍♂️ https://t.co/u… Jun 22, 2019 ","今日から4月 何かを始めるのに遅いなんてことはないと思います 僕は失敗することより、やりたいと思ったことをやらなかったことの後悔の方がデカいと思ってYouTubeに挑戦しました こんな時だからこそ心を燃やしましょう https://t.co/NESzkZzzp1 Apr 01, 2020 ","マネージャーはコーラ好き😌 https://t.co/myZpYCJpOe Mar 02, 2021 ",,
"RT @chibashin0119: 本日の動画更新🔥 嵐「Love so sweet」をジャニーズ アーティストの名前だけで歌ってみた。 こちらから！ https://t.co/X0W9mTlbU7 https://t.co/FJhovzOV68 Jun 22, 2019 ","コロナウイルスの影響を受けて考えたことを書きました 正直、僕たちはこの問題に対しての警戒度が公の人間として相応しくなかったと反省しています 意識を入れ替え毎日投稿を続けていくので楽しんでくれると嬉しいです https://t.co/oNbCTMLVKD Mar 31, 2020 ","@sg__soccer ポンスしか勝たんです😂 Feb 28, 2021 ",,
"@comyamato0515 日本一可愛い台拭き Jun 21, 2019 ","@comhitomi1221 かまそう！ Mar 26, 2020 ","目と目があって気付いた ポンスの優勝 https://t.co/kGliRYgwWJ Feb 28, 2021 ",,
"@comyuta0305 @bozu_108 ヒヒーン！ Jun 20, 2019 ","友達2人とスノボしてきました 2人とも自分の夢に対して情熱があってとんでもなく気合い入った 明日から更にかます！ https://t.co/jAWtCEgma5 Mar 26, 2020 ","@com_hinawo @Comyoutuber2 😍😍 Feb 28, 2021 ",,
"@comhyuga1117 似合うと思う。 Jun 20, 2019 ","@bozu_108 コムドットが日本を獲る Mar 24, 2020 ","@macagra_ryoma 楽しみすぎるけん Feb 26, 2021 ",,
"RT @comhyuga1117: シャンクスの髪型にしたいです。 https://t.co/05xin0wYPg Jun 20, 2019 ","コメントで誤字教えてくれる人いるけど、10分間も動画見てコメントするのそこなの！？ せっかくコメントしてくれるなら、面白かったところ教えてよー！ Mar 24, 2020 ","@comamugirl0123 いや可愛すぎるねこれは！ Feb 26, 2021 ",,
"RT @Comyoutuber2: 今日の動画です！ https://t.co/zpPjdpfD2h 久々のあるある動画になりです🤤 今をときめいてる飲みサー大学生のみんな！！！ コムドットがあるあるを作りました！ 一度は見たことあるものばかりだと思います😂 みてね✌️ htt… Jun 20, 2019 ","ワニ君いままでお疲れ様。 これからはワニ顔の僕が想いを引き継いで精一杯生きていくね。 #100日後に死ぬワニ https://t.co/RvFsY6I3bm Mar 20, 2020 ","ダイヤモンドパァァァァァァァァァァァァァァァァァァァァァァァァァァァァァァァァァァァァァァァァァァァァァァァァァァァァァァァァル！！！！ 冬まで頑張って生きます https://t.co/5LUDib0E1r Feb 26, 2021 ",,
"@bozu_108 コムドットゆうた https://t.co/JWKdym12rP Jun 18, 2019 ","https://t.co/XrtyKASxTV Mar 19, 2020 ","@cr5RIXOiUbGIvDr 体育祭かな？😎 Feb 26, 2021 ",,
"RT @FUJI_EVISJAP: 童貞卒業企画、みんな応募ありがとう！一気に3人で見るためにまだ再生してないけど面白そう笑 明日6/18 23:59が締め切りだから応募したいなら早めによろしく！ Jun 18, 2019 ","唾奇の「いつか必ずが今になる」ってリリックが大好きです 毎日コツコツやることやります Mar 19, 2020 ","@atae46 運動会やれたこと！後コラボですね！ Feb 26, 2021 ",,
"@com_kaede_ 心が浄化されやした☕️ Jun 16, 2019 ","昨日の動画YouTubeの不具合で見れてない方が多いらしいです。 せっかく楽しくロケしたので見て欲しいです！ 下のリンクから飛べば見れるので是非🤝🤝🤝 https://t.co/KaICxIB7T3 Mar 19, 2020 ","2月ももう終わり、いと早し。 https://t.co/lr7Bn81nqm Feb 26, 2021 ",,
"@an03233 超絶ニンマリしてた Jun 16, 2019 ","あ、好きな歌詞です笑笑 Mar 15, 2020 ","申し訳ない！！！ 動画もう少し遅くなります🙇‍♂️🙇‍♂️😭 Feb 25, 2021 ",,
"おつかれワイ。 https://t.co/OwqOdXczxU Jun 16, 2019 ","斜め上が雲の上 Mar 15, 2020 ","高校の体育祭を思い出した日だった とっっても楽しかった余韻がすごいです！🏃‍♂️ https://t.co/tdlBjRR2Zg Feb 23, 2021 ",,
"初めて娘がアイスコーヒー飲んでみたい！ってパパに頼んで苦いけど大丈夫？とも言わずに 『じゃあアイスコーヒーとオレンジジュースで』と注文し 娘が一口飲んで『苦っ』ってなってるのを見てケラケラ笑いながらオレンジジュースを渡してるパパさんを見て なんだかほっこりした初夏。 https://t.co/XmgyLKp1ot Jun 16, 2019 ","@ssmametarou 今から時代獲るんでよろしくです Mar 15, 2020 ","共感者少なくて悔しい！笑 1学期が始まるみたいな感じ！！ Feb 21, 2021 ",,
"https://t.co/DEcdGyJ4jb ↑こちらから見れます 僕はいじめられてます。 この動画見てもらえないと本気のいじめられっ子になってしまうので動画視聴でこのいじめを成仏してください、、、、 https://t.co/B6XedMjbMq Jun 15, 2019 ","どハマりしました。 戦略、度胸、友情、裏切り、欲、愛情など人間の全てが詰まってます 沼ですねこれは #王騎と繋がりたい https://t.co/EjTTd900F7 Mar 14, 2020 ","@atae46 おいおい大丈夫かい😅笑 Feb 21, 2021 ",,
"RT @Comyoutuber2: 今日の動画です。 https://t.co/NSbs9tJ81W みなさんこんばんは。ゆうたです。 これが僕の最後の仕事かもしれないです。これからも俺らはおもろいです。 応援と動画の視聴よろしくお願いします。 https://t.co/sBf… Jun 15, 2019 ","コムドット😉😉 https://t.co/0j5RGyhlvi Mar 14, 2020 ","@ComYukicha バカ暑い！けどパーカー着てます笑 Feb 21, 2021 ",,
"RT @Comyoutuber2: コムドット@チャンネル登録お願いします さんの動画をチェックして！ #TikTok > https://t.co/VnxC0D6keY Jun 15, 2019 ","断固たる開き直りが時代を獲る Mar 14, 2020 ","@kd6HT2QypHCxG8v おめでとう㊗️ Feb 21, 2021 ",,
"RT @Comyoutuber2: https://t.co/9BSiymAUr2 ↑こちらから見れます 上智生VS中卒による漢字テストバトル！ ひゅうがくんの珍回答に目が離せません^_^この熱戦是非見てください🔥 https://t.co/wnTFzwlUPg Jun 15, 2019 ","☺️☺️☺️ https://t.co/dmKkoBXuW1 Mar 13, 2020 ","@_mky_mky 5分で伝えられるように簡潔にまとめてきます😌 Feb 21, 2021 ",,
"RT @Comyoutuber2: 今日の動画です！ https://t.co/83VKLJvnIM ゆうまの仕事道具のMacBookを川に流してみましたwww 滅多にきれないゆうまが今回ブチギレる😨😨 コムドット史上最高傑作のドッキリとくとご覧あれ！！🕺🕺 https://t… Jun 15, 2019 ","コムドットがやめろと言われてやめる集団だといつから錯覚してるのですか？ Mar 12, 2020 ","今日外が入学式の匂いがする Feb 21, 2021 ",,
"RT @TO_TETSUYA: AV観てて思ったけどお姉ちゃんが欲しいです。 Jun 13, 2019 ","@comyuma1214 オラジノールみたいで草 Mar 12, 2020 ","@comyamato0515 @comyuta0305 待って本人来るのは聞いてない！すごい世界線だ Feb 21, 2021 ",,
"@Comyoutuber2 うるせえぞコムドット！ Jun 13, 2019 ","@puntkick_ikemi 家の鍵閉めてってことです Mar 12, 2020 ","@IwataTchi101 あむぎりさんに伝えときます！ Feb 21, 2021 ",,
"RT @Comyoutuber2: 今日の動画です🔥 https://t.co/l1aYpuceFt コムドットの天と地。 イケメン組と童貞組。 イケメンの顔を借りた童貞は人気出会い系アプリTinderで出会えるのか。 いや、あむぎり、悠馬、ひとつだけ言いたい。お前らプライドな… Jun 13, 2019 ","くだらないプライドを捨てるのが上手な人は上手くいってるイメージがある Mar 12, 2020 ","@rin_myrs アイアムナンバーワン！！ Feb 21, 2021 ",,
"RT @chibashin0119: お知らせ！！ 6/23(日) 東京のYouTuberイベントに急遽出演させていただけることになりました🔥 こういうの初めてだから楽しみ！！ いっぱいお話しましょう😊 https://t.co/1JRpTFxu3T Jun 13, 2019 ","物づくりをしてると、売れるためにやりたくない事をやるか、売れなくてもやりたい事をやり通すかっていうジレンマに必ずぶつかる 自分なりの答えは「1番大切なプライドだけ守って、くだらないプライド全捨てしてやりたくない事もやるべき」 俺らは自分たちが楽しむってとこだけは守ってここまできた Mar 12, 2020 ","@atae46 ふぇーーーす！！ Feb 21, 2021 ",,
"RT @comyamato0515: 普段は人に怒鳴り散らし、暴力を振るい、まるで独裁者みたいなひゅうがですが、寝ると可愛くてしょーがないんです ストラップにしてポーチにつけたい人いいね https://t.co/18qy7HkBIW Jun 12, 2019 ","みんな匿名でそれっぽいこと言って評論家気取ってる。 闇だ。 我々はそれを飲み込む光だ。 Mar 11, 2020 ","@s_dik_5 あむぎりさん今日も可愛いですね Feb 21, 2021 ",,
"@comyuta0305 いいんですか！？ゆうたくんのペット認定！やったァァァァァァァァ Jun 11, 2019 ","俺の感覚的にYouTubeのチャンネルって1つの部屋で、そこをみんなが自由に出入りしてるってイメージ 楽しかったらそこにいればいいし、つまんなかったら無言で出てくのが大人のマナーだと思う わざわざレストランで「まずかった！」って言う人いないでしょ Mar 10, 2020 ","@_67ryj_yt9235_ 萎える！ Feb 21, 2021 ",,
"RT @Comyoutuber2: 今日の動画です！！ https://t.co/TNQ8bECriJ 今日の動画はゆうたの２４時間企画、前人未到ぶっ通しヒッチハイク生活になります🔥✌️ 数々の幸運、波乱、ハプニングに見舞われた彼の姿をどうか見届けてください🙏 言い合いの喧嘩を… Jun 10, 2019 ","公式君。載せるならひとこと頼むよぉ。(めちゃくちゃ嬉しい) https://t.co/OdWHAIPA9F Mar 10, 2020 ","@___comy グッ… Feb 21, 2021 ",,
"RT @Comyoutuber2: 今日の動画です！ https://t.co/Op5jyGYUGS 本日はゆうたの２４時間企画ヒッチハイク生活の完結編🔥🔥 ゆうたの不正発覚、ヒュウガの暴力、全てがエスカレートしていく中企画は佳境を迎える。 彼らは一体どこまでいくことができたの… Jun 10, 2019 ","年内50万人達成するためにあえて泥を飲もう アンチの皆さんの手を借ります TikTokのコメント欄は全部自分が返信してます。少々見苦しいですが、信じてついてきてください。 Mar 08, 2020 ","今日もいい天気ですね〜 どうもゆうたです https://t.co/LxHw8S4CIu Feb 21, 2021 ",,
"@comyuta0305 可愛いですプニペロさせてください Jun 09, 2019 ","☺️☺️☺️ https://t.co/W38HmC76fJ Mar 07, 2020 ","@com__kae 簡単すぎるねそれは笑笑 Feb 19, 2021 ",,
"RT @comyuta0305: 奥歯掃除してんのかほっぺにぶちさしさしてるのかわからねえよおおおおおお💩💩💩💩 https://t.co/QWU87WwVnq Jun 09, 2019 ","明日は久しぶりのオフだーー！！ 明日も晴れるといいね！！ https://t.co/1V0Rc14d0V Mar 06, 2020 ","@sa__y_810 鶏やないやないかい！！ やない×2 Feb 19, 2021 ",,
"RT @comyamato0515: 5人で会議 コムドットで夏とんでもないことします👙👙👙 お楽しみに😎😎 https://t.co/89PtimY15y Jun 09, 2019 ","ゆうたお誕生日おめでとう 愛してるぜ https://t.co/ZH9fbBLWKa Mar 05, 2020 ","@H2O_H2O_M それいけそうだね！😂 Feb 19, 2021 ",,
