yuma,yamato,amugiri,hyuga,yuta
"はっはっはっはっはっー！ いつもありがとうございます😊 https://t.co/lw3osqZ7QN Oct 17, 2021 ","RT @modelpress: コムドット、YouTube休止中の現状報告 再開について言及 @Comyoutuber2 ▼写真・記事詳細はこちら https://t.co/U3hTELkHIF Jan 11, 2022 ","@_19981999_ あったかかった！！😁 Jan 17, 2022 ","最近のメンバーとのツーショット #思い出 https://t.co/kWDUBfT84u Oct 05, 2021 ","@com_ys_k 花粉症ではないはずなんだよね Oct 11, 2021 "
"RT @NYLONJAPAN: 【 #コムドット NYLON SUPER情報解禁‼️】『NYLON SUPER VOL.8』は11/16発売！表紙はフルメンバー版・限定ソロ表紙版の合計6パターン！両面ポスター6種＆全共通DVD付録も！ 🔗 https://t.co/hggQi… Oct 13, 2021 ","新成人の皆さんおめでとうございます これから沢山の不条理に出会うと思うけど、自分の夢に対しては腐らず、目を逸らさず向き合ってください 若い闘志は人生を変えるパワーを持っているので存分に使ってください そして挑戦するときだけは「大人になった」ということを忘れて沢山失敗してください Jan 10, 2022 ","@yuzu_kasutera_ 幸せの連鎖ですね嬉しいです😆 Jan 17, 2022 ","RT @modelpress: コムドット3周年、記念生配信で思い語る スカイピースから歌のサプライズも「俺たちのヒーロー」 #コムドット3歳 #コムドット @Comyoutuber2 ▼記事詳細・ほか写真はこちら https://t.co/RjYwxfR9bv Oct 02, 2021 ","@Com_ruka0515 今は我慢するしかないか、、 Oct 11, 2021 "
"はいホンマこんちくわ、 ネットで関西弁使うやつ だいたいイキリ陰キャやな。 #ブーメランやなホンマ #たぶんめっちゃスベったさかい #恥ずかしくて夜も眠れへん Oct 06, 2021 ","RT @comamugiri0123: あけましておめでとうございます！！！！！！！！！！！！！！！！！！！！！！今年もよろしくお願いしまあぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁす！！！！！！🎍🙇‍♂️ Jan 03, 2022 ","@sakiii____saki なんだろう？☆ Jan 17, 2022 ","沖縄の喫煙所 #仕事で沖縄に友達と #その仕事で稼いだお金で今度みんなで遊びに行けるようになったらいこう https://t.co/bdnYc9Paaw Sep 05, 2021 ","@babuyutachan 辛くね、、？😂 Oct 11, 2021 "
"いえええい！！ https://t.co/9HyYmfLLti Sep 30, 2021 ","「掴みかけてるものを掴みにいくだけ」 2022年も本気で戦います Jan 01, 2022 ","すごく楽しい撮影してきました！😆 幸せでした！アップされるのが楽しみです！ Jan 17, 2022 ","YouTubeドリーム #夢が叶いました #きりたんぽ #本当にありがとうございました #これからも1リスナーとして応援してます #きりちゃん最高 https://t.co/a3pnjCu44L Aug 30, 2021 ","@hirokun040 どう乗り越えるのが正解なんだ？？ Oct 11, 2021 "
"タバコ買おうとしたら年齢確認された。普段老けてるって言われるからめっちゃ嬉しいってわけでもない。 なんとも言えない気持ち。 Sep 10, 2021 ","2021年は確実にコムドットが獲った でもこの1年を走り抜けれたのは、コラボしてくれたクリエイターや、辛い時も支えてくれたファンのみんなのおかげです 本当にありがとうございました どれだけデカい口を叩いても、みんなへの感謝は忘れない人でいようと思います 当然2022年も獲りにいきます Dec 31, 2021 ","RT @Comyoutuber2: 【24時間逆鬼ごっこ】 鬼ごっこの概念をぶち壊す大型企画 賞金300万を賭けて23歳の男5人が様々な街を駆け巡ります 是非チャンネル登録をして楽しんで見ていただけると嬉しいです🤝 https://t.co/wyMs7JkIdP Jan 16, 2022 ","@KEESUKE_ESPOIR いくらなんでも食い過ぎてて草byゆうま Aug 23, 2021 ","@amucomgiri1 これって掻いていいの？？笑 Oct 11, 2021 "
"僕としたことが関コレにパンツの替えを持っていくのを忘れ、晴れ舞台にクッセェパンティーで出てしまいました。アチン。 最高に楽しかったですありがとうございました🥳 https://t.co/HwpVwzUqa6 Sep 05, 2021 ","来年はパンパンに観客入れて、お互いの応援席に女性YouTuber呼んでバスケの試合がしたい 想像するだけでワクワクする やっぱ夢あるなYouTube🤔 レジェンドのみんなに食らいついて来年も前線でYouTube盛り上げるのでよろしくお願いします🔥🔥 https://t.co/h3h8QlykEX Dec 30, 2021 ","@yuuuuu2021 すごすぎ！！ありがとうございます😭 Jan 15, 2022 ","1週間本当にありがとうございました！ とにかく1番は楽しすぎました！ またぶちかましましょう！ #スカイドットお疲れ https://t.co/3vTWJG35wR Aug 15, 2021 ","@kanon_s_0210 詳しくね？？ 俺花粉症なのかな〜 Oct 11, 2021 "
"ボンにひたすらダル絡みをしている僕が可愛すぎる件について。 Aug 19, 2021 ","RT @wwd_jp: 【スナップ】「フェンディ」が渋谷スクランブル交差点をジャック　コムドットやまとや川口ゆりなが祝福 https://t.co/CqKhJsOAmt Dec 30, 2021 ","@atknyan_ 笑笑笑笑笑笑 Jan 15, 2022 ","そう思うなら構ってあげなよ‼️ https://t.co/8gUlnnHtIt Aug 05, 2021 ","@k__com_ なんで言ってた？！😂 Oct 11, 2021 "
"最高の一週間でした！ こんな老け顔になってここまでの青春を感じることはできないと思ってました。 換気です。 お互い目標達成しましょう！！ #スカイドットお疲れ https://t.co/Y9yW7P2dLI Aug 15, 2021 ","RT @Comyoutuber2: 【新世代vsレジェンド】 互いのプライドを賭けた本気のバスケ対決 12/28 20:30〜プレミア公開 チャンネル登録してお待ち下さい https://t.co/193GwEKWHj Dec 28, 2021 ","@COCO82063281 わかったよ！！！！しょうがないなあああああ！！ Jan 15, 2022 ","ヘラクレスオオカブトに初めて直接の触った！！ 小さい頃死ぬほど昆虫博物館とか連れてってもらってたくらい好きだったから本当にテンション上がりました笑 https://t.co/luPLsu8WvP Jul 22, 2021 ","@boc_to_7717 それが1番いいよね😂 Oct 11, 2021 "
"RT @gene_kou: #GENE高🆚#コムドット 👮‍♂️ドロケイ対決【前半戦】 視聴は▶︎https://t.co/tGwGlIAkvT ㊙️#GENE×コムドット未公開SP 視聴は▶︎https://t.co/CodnWdt3iC ＼無料視聴期限は明日まで❗️／… Aug 07, 2021 ","RT @comyamato0515: ぴえん🥺🥺🥺 Dec 25, 2021 ","@chiharu___1105 すごすぎる👏 Jan 15, 2022 ","楽しみにしてたファンの方々！ お待たせしました！！ お待たせしすぎたかもしれません！ Simejiのアプリをダウンロードしてバナーからダウンロードできるみたいです！ 使っちゃってみてください！ https://t.co/7oLcqxBpze Jul 09, 2021 ","@com_mai0325 俺花粉症じゃないはずなんだけど、、 Oct 11, 2021 "
"今日の俺氏編集チンカス遅くて泣きそう。巻き返します。 Aug 05, 2021 ","RT @modelpress: 12月発表「YouTuber影響力トレンドランキング」TOP10 #モデルプレスカウントダウン #モデルプレス人気投票 #HIKAKIN #コムドット #ヒカル #はじめしゃちょー #スカイピース ▼ランキング結果 https://t.co… Dec 25, 2021 ","@nikonikonion 最高だねじゃあ😝 Jan 15, 2022 ","https://t.co/oEhDRB64hG Jun 25, 2021 ","今って花粉飛んでる？ めっちゃ目が痒いんだけど 花粉飛んでる？ Oct 11, 2021 "
"ほぼブラ焼けです サンダル履きすぎました。 https://t.co/yCOyQ5BKPc Aug 04, 2021 ","RT @modelpress: コムドットゆうた、ドラマ初主演＆初出演にファンから歓喜の声続々 @comyuta0305 @Comyoutuber2 ▼記事詳細・ほか写真はこちら https://t.co/16TYWZmP1y Dec 23, 2021 ","@com_a__dada おう！！ Jan 15, 2022 ","なんかすごすですよ！！ みなさん！！！ このツイートをRTしない可能性これ 一切なーい‼️ ワクワクドキドキです！ https://t.co/o19DwdP8no Jun 17, 2021 ","@yt__0305 ありがとう😭🙇‍♂️ Oct 07, 2021 "
"お久しぶりです https://t.co/RVn6i6sYzG Aug 04, 2021 ","RT @vivi_magazine: 2021年下半期 #国宝級イケメンランキング 「好きなYouTuber部門」1位に輝いた #コムドット のオフショットを公開！仲の良さが伝わってくる写真ばかり♡ @Comyoutuber2 https://t.co/1fIAoL0Zlc Dec 23, 2021 ","@00oaad そ！！😭 Jan 15, 2022 ","@aya110n_n 綾ちゃんありがとう！！ 最近R1沢山飲んでお腹の調子抜群です😏 Jun 12, 2021 ","@yuki63850551 パーカー楽だしいいよね🤤 Oct 07, 2021 "
"RT @gene_kou: 次回の #GENE高 は #コムドット コラボ企画Part2❗️ 🦋『#AGEHA』を被らず歌える？ パフォーマーチームも参加でハプニング続出⁉️ 🚨白熱バトルが再び！ ドロケイ対決後半戦🔥 さらに‼️ コムドットからのプレゼントも🎁 参加方法… Jul 26, 2021 ","RT @hajimesyacho: チャンネル登録者数1000万人突破しました！！！！ みんな本当にありがとう。 みんなのおかげで達成できました😭😭😭 #はじめしゃちょー目指せ1000万人 #はじめしゃちょー1000万人おめでとう https://t.co/eHIout… Dec 23, 2021 ","丸２日外に出てないまずいぃぃぃ！！ ２日経った外はどんな匂いするんだろう？🧐 Jan 15, 2022 ","@arishan_hera3 ありしゃんさんありがとうございます！！ いい写真ですね😏 まだまだ走ります👍 Jun 12, 2021 ","@ibis_q_haru5 それめっちゃ最高 Oct 07, 2021 "
